"ICD10_code";"ICD10_code_dot";"diagnosis";"code_description"
"A00";"A00";"Cholera";"A00 Cholera"
"A01";"A01";"Typhoid and paratyphoid fevers";"A01 Typhoid and paratyphoid fevers"
"A02";"A02";"Other salmonella infections";"A02 Other salmonella infections"
"A03";"A03";"Shigellosis";"A03 Shigellosis"
"A04";"A04";"Other bacterial intestinal infections";"A04 Other bacterial intestinal infections"
"A05";"A05";"Oth bacterial foodborne intoxications, NEC";"A05 Oth bacterial foodborne intoxications, NEC"
"A06";"A06";"Amebiasis";"A06 Amebiasis"
"A07";"A07";"Other protozoal intestinal diseases";"A07 Other protozoal intestinal diseases"
"A08";"A08";"Viral and other specified intestinal infections";"A08 Viral and other specified intestinal infections"
"A09";"A09";"Infectious gastroenteritis and colitis, unspecified";"A09 Infectious gastroenteritis and colitis, unspecified"
"A15";"A15";"Respiratory tuberculosis";"A15 Respiratory tuberculosis"
"A17";"A17";"Tuberculosis of nervous system";"A17 Tuberculosis of nervous system"
"A18";"A18";"Tuberculosis of other organs";"A18 Tuberculosis of other organs"
"A19";"A19";"Miliary tuberculosis";"A19 Miliary tuberculosis"
"A20";"A20";"Plague";"A20 Plague"
"A21";"A21";"Tularemia";"A21 Tularemia"
"A22";"A22";"Anthrax";"A22 Anthrax"
"A23";"A23";"Brucellosis";"A23 Brucellosis"
"A24";"A24";"Glanders and melioidosis";"A24 Glanders and melioidosis"
"A25";"A25";"Rat-bite fevers";"A25 Rat-bite fevers"
"A26";"A26";"Erysipeloid";"A26 Erysipeloid"
"A27";"A27";"Leptospirosis";"A27 Leptospirosis"
"A28";"A28";"Other zoonotic bacterial diseases, not elsewhere classified";"A28 Other zoonotic bacterial diseases, not elsewhere classified"
"A30";"A30";"Leprosy [Hansen's disease]";"A30 Leprosy [Hansen's disease]"
"A31";"A31";"Infection due to other mycobacteria";"A31 Infection due to other mycobacteria"
"A32";"A32";"Listeriosis";"A32 Listeriosis"
"A33";"A33";"Tetanus neonatorum";"A33 Tetanus neonatorum"
"A34";"A34";"Obstetrical tetanus";"A34 Obstetrical tetanus"
"A35";"A35";"Other tetanus";"A35 Other tetanus"
"A36";"A36";"Diphtheria";"A36 Diphtheria"
"A37";"A37";"Whooping cough";"A37 Whooping cough"
"A38";"A38";"Scarlet fever";"A38 Scarlet fever"
"A39";"A39";"Meningococcal infection";"A39 Meningococcal infection"
"A40";"A40";"Streptococcal sepsis";"A40 Streptococcal sepsis"
"A41";"A41";"Other sepsis";"A41 Other sepsis"
"A42";"A42";"Actinomycosis";"A42 Actinomycosis"
"A43";"A43";"Nocardiosis";"A43 Nocardiosis"
